"ID","NAME_TH","APP_NAME_TH","NAME_EN","APP_NAME_EN","GROUP_TYPE_TH","GROUP_TYPE_EN","CATEGORY_TH","CATEGORY_EN","UNIT_TH","UNIT_EN"
P11001,สุกรชำแหละ เนื้อสัน สันใน,สุกรชำแหละ เนื้อสัน สันใน ขายปลีก,Pork Tenderloin,Pork Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/กก.,THB/kg.
P11002,สุกรชำแหละ เนื้อสัน สันนอก,สุกรชำแหละ เนื้อสัน สันนอก ขายปลีก,Pork Loin,Pork Loin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/กำ,THB/bundle
P11003,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง) ขายปลีก,Trimmed Pork Ham,Trimmed Pork Ham Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ผล,THB/fruit
P11004,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง) ขายปลีก,Trimmed Pork Shoulder,Trimmed Pork Shoulder Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/หวี,THB/hand
P11005,สุกรชำแหละ เนื้อสามชั้น,สุกรชำแหละ เนื้อสามชั้น ขายปลีก,Pork Belly,Pork Belly Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ กก.,THB/kg.
P11006,สุกรชำแหละ มันแข็ง,สุกรชำแหละ มันแข็ง ขายปลีก,Pork Fatback,Pork Fatback Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/100 กก.,THB/100kg.
P11007,สุกรชำแหละ เศษมัน,สุกรชำแหละ เศษมัน ขายปลีก,Pork Trimmings,Pork Trimmings Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/15 กก.,THB/15kg.
P11008,สุกรชำแหละ มันเปลว,สุกรชำแหละ มันเปลว ขายปลีก,Pork Leaf Fat,Pork Leaf Fat Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ 15 กก.,THB/15kg.
P11009,ไก่สดทั้งตัว (รวมเครื่องใน),ไก่สดทั้งตัว (รวมเครื่องใน) ขายปลีก,Whole Chicken with Offals,Whole Chicken with Offals Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ 10 กำ,THB/10 bundles
P11010,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),ไก่สดทั้งตัว (ไม่รวมเครื่องใน) ขายปลีก,Whole Chicken without Offals,Whole Chicken without Offals Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,USD/ตัน,USD/ton
P11011,ไก่สดชำแหละ เนื้อสันใน,ไก่สดชำแหละ เนื้อสันใน ขายปลีก,Chicken Tenderloin,Chicken Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ขีด,THB/100g.
P11012,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),ไก่สดชำแหละ เนื้ออก (เนื้อล้วน) ขายปลีก,Chicken Breast (Meat Only),Chicken Breast (Meat Only) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/3 กล่อง(กล่องละ 10 กก.),THB/3 boxes (10 kg./box)
P11013,ไก่สดชำแหละ น่อง สะโพก,ไก่สดชำแหละ น่อง สะโพก ขายปลีก,Chicken Drumstick and Thigh,Chicken Drumstick and Thigh Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/10 กำ,THB/10 bundles
P11014,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม) ขายปลีก,Whole Chicken Wing,Whole Chicken Wing Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ตัน,THB/ton
P11015,ไก่สดชำแหละ ปีกบน,ไก่สดชำแหละ ปีกบน ขายปลีก,Chicken Drumette,Chicken Drumette Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,หยวน/ตัน,RMB/ton
P11016,ไก่สดชำแหละ เครื่องใน,ไก่สดชำแหละ เครื่องใน ขายปลีก,Chicken Offal,Chicken Offal Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11017,ไก่สดชำแหละ หนัง,ไก่สดชำแหละ หนัง ขายปลีก,Chicken Skin,Chicken Skin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11018,ไก่สดชำแหละ แข้ง ขา ตีน,ไก่สดชำแหละ แข้ง ขา ตีน ขายปลีก,Chicken Leg and Foot,Chicken Leg and Foot Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11019,ไก่สดชำแหละ โครงกระดูก,ไก่สดชำแหละ โครงกระดูก ขายปลีก,Chicken Carcass,Chicken Carcass Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11020,ไข่เป็ด ใหญ่,ไข่เป็ด ใหญ่ ขายปลีก,Large Duck Egg,Large Duck Egg Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11021,ไข่เป็ด กลาง,ไข่เป็ด กลาง ขายปลีก,Medium-Sized Duck Egg,Medium-Sized Duck Egg Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11022,ไข่เป็ด เล็ก,ไข่เป็ด เล็ก ขายปลีก,Small Duck Egg,Small Duck Egg Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11023,ไข่เป็ดเค็ม ใหญ่,ไข่เป็ดเค็ม ใหญ่ ขายปลีก,Large Salted Duck Egg,Large Salted Duck Egg Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11024,ไข่เป็ดเค็ม กลาง,ไข่เป็ดเค็ม กลาง ขายปลีก,Medium-Sized Salted Duck Egg,Medium-Sized Salted Duck Egg Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11025,ไข่ไก่ เบอร์ 0,ไข่ไก่ เบอร์ 0 ขายปลีก,Chicken Egg (No.0),Chicken Egg (No.0) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11026,ไข่ไก่ เบอร์ 1,ไข่ไก่ เบอร์ 1 ขายปลีก,Chicken Egg (No.1),Chicken Egg (No.1) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11027,ไข่ไก่ เบอร์ 2,ไข่ไก่ เบอร์ 2 ขายปลีก,Chicken Egg (No.2),Chicken Egg (No.2) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11028,ไข่ไก่ เบอร์ 3,ไข่ไก่ เบอร์ 3 ขายปลีก,Chicken Egg (No.3),Chicken Egg (No.3) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11029,ไข่ไก่ เบอร์ 4,ไข่ไก่ เบอร์ 4 ขายปลีก,Chicken Egg (No.4),Chicken Egg (No.4) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11030,ไข่ไก่ เบอร์ 5,ไข่ไก่ เบอร์ 5 ขายปลีก,Chicken Egg (No.5),Chicken Egg (No.5) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11031,เนื้อโค สะโพก,เนื้อโค สะโพก ขายปลีก,Beef Round,Beef Round Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11032,เนื้อโค สันนอก,เนื้อโค สันนอก ขายปลีก,Beef Sirloin,Beef Sirloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11033,เนื้อโค สันใน,เนื้อโค สันใน ขายปลีก,Beef Tenderloin,Beef Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11034,เนื้อกระบือ ธรรมดา,เนื้อกระบือ ธรรมดา ขายปลีก,Buffalo Meat (in General),Buffalo Meat (in General) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11035,เนื้อกระบือ สันนอก สะโพก,เนื้อกระบือ สันนอก สะโพก ขายปลีก,Buffalo Sirloin and Round,Buffalo Sirloin and Round Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11036,เนื้อกระบือ สันใน,เนื้อกระบือ สันใน ขายปลีก,Buffalo Tenderloin,Buffalo Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11037,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง) ขายปลีก,Untrimmed Ham,Untrimmed Ham Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11038,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง) ขายปลีก,Untrimmed Pork Shoulder,Untrimmed Pork Shoulder Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11039,เนื้อโค ติดกระดูก,เนื้อโค ติดกระดูก ขายปลีก,Bone-In Beef,Bone-In Beef Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11040,เนื้อโค เลาะกระดูกขาหน้า,เนื้อโค เลาะกระดูกขาหน้า ขายปลีก,Deboned Beef (Front Leg),Deboned Beef (Front Leg) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11041,เนื้อโค เลาะกระดูกขาหลัง,เนื้อโค เลาะกระดูกขาหลัง ขายปลีก,Deboned Beef (Hind Leg),Deboned Beef (Hind Leg) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11042,เนื้อโค ส่วนน่อง,เนื้อโค ส่วนน่อง ขายปลีก,Beef Shank,Beef Shank Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11043,เนื้อโค สามชั้น,เนื้อโค สามชั้น ขายปลีก,Beef Plate,Beef Plate Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11044,ไก่สดชำแหละ น่อง,ไก่สดชำแหละ น่อง ขายปลีก,Chicken Drumstick,Chicken Drumstick Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11045,ไก่สดชำแหละ สะโพก,ไก่สดชำแหละ สะโพก ขายปลีก,Chicken Thigh,Chicken Thigh Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11046,ไก่สดชำแหละ เนื้ออก (ติดหนัง),ไก่สดชำแหละ เนื้ออก (ติดหนัง) ขายปลีก,Chicken Breast with Skin,Chicken Breast with Skin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11047,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,เป็ดสด (ทั้งตัว) ขนาดไซส์ s ขายปลีก,S-Sized Whole Duck,S-Sized Whole Duck Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11048,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM ขายปลีก,M/MM-Sized Whole Duck,M/MM-Sized Whole Duck Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11049,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,เป็ดสด (ทั้งตัว) ขนาดไซส์ L ขายปลีก,L-Sized Whole Duck,L-Sized Whole Duck Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P11050,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL ขายปลีก,XL-Sized Whole Duck,XL-Sized Whole Duck Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,"",""
P12001,กุ้งขาว (40 ตัว/กก.),กุ้งขาว (40 ตัว/กก.) ขายปลีก,Whiteleg Shrimp (40 Shrimps/kg),Whiteleg Shrimp (40 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12002,กุ้งขาว (50 ตัว/กก.),กุ้งขาว (50 ตัว/กก.) ขายปลีก,Whiteleg Shrimp (50 Shrimps/kg),Whiteleg Shrimp (50 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P14005,แตงโม พันธุ์กินรี,แตงโม พันธุ์กินรี ขายปลีก,Kinnaree Watermelon,Kinnaree Watermelon Retail,ผลไม้,Fruit,ขายปลีก,Retail,"",""
P12003,กุ้งขาว (60 ตัว/กก.),กุ้งขาว (60 ตัว/กก.) ขายปลีก,Whiteleg Shrimp (60 Shrimps/kg),Whiteleg Shrimp (60 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12004,กุ้งขาว (70 ตัว/กก.),กุ้งขาว (70 ตัว/กก.) ขายปลีก,Whiteleg Shrimp (70 Shrimps/kg),Whiteleg Shrimp (70 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12005,กุ้งขาว (80 ตัว/กก.),กุ้งขาว (80 ตัว/กก.) ขายปลีก,Whiteleg Shrimp (80 Shrimps/kg),Whiteleg Shrimp (80 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12006,กุ้งแชบ๊วย (40-50 ตัว/กก.),กุ้งแชบ๊วย (40-50 ตัว/กก.) ขายปลีก,Banana Prawn (40–50 Prawns/kg),Banana Prawn (40–50 Prawns/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12007,กุ้งเปลือกแข็ง (40-50 ตัว/กก.),กุ้งเปลือกแข็ง (40-50 ตัว/กก.) ขายปลีก,Hard-Shell Shrimp (40–50 Shrimps/kg),Hard-Shell Shrimp (40–50 Shrimps/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12008,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก. ขายปลีก,Medium-Sized Thai-Farmed Giant Freshwater Prawn (15–16 Prawns/kg),Medium-Sized Thai-Farmed Giant Freshwater Prawn (15–16 Prawns/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12009,ปลาหมึกกล้วย คละ,ปลาหมึกกล้วย คละ ขายปลีก,Squid (Mixed Grade),Squid (Mixed Grade) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12010,ปลาหมึกกระดอง คละ,ปลาหมึกกระดอง คละ ขายปลีก,Cuttlefish (Mixed Grade),Cuttlefish (Mixed Grade) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12011,หอยแครง คละ,หอยแครง คละ ขายปลีก,Blood Cockle (Mixed Grade),Blood Cockle (Mixed Grade) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12012,หอยลาย คละ,หอยลาย คละ ขายปลีก,Undulated Surf Clam (Mixed Grade),Undulated Surf Clam (Mixed Grade) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12013,หอยแมลงภู่ คละ,หอยแมลงภู่ คละ ขายปลีก,Green Mussel (Mixed Grade),Green Mussel (Mixed Grade) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12014,ปลาทูสด (9-12 ตัว/กก.),ปลาทูสด (9-12 ตัว/กก.) ขายปลีก,Fresh Short Mackerel (9–12 Fishes/kg),Fresh Short Mackerel (9–12 Fishes/kg) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12015,ปลาช่อน,ปลาช่อน ขายปลีก,Snakehead Fish,Snakehead Fish Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12016,ปลาดุก (พันธุ์บิ๊กอุย),ปลาดุก (พันธุ์บิ๊กอุย) ขายปลีก,North African-Broadhead Hybrid Catfish,North African-Broadhead Hybrid Catfish Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12017,ปลานิล,ปลานิล ขายปลีก,Tilapia,Tilapia Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12018,ปลาสวาย,ปลาสวาย ขายปลีก,Iridescent Shark Catfish,Iridescent Shark Catfish Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12019,ปลาทับทิม,ปลาทับทิม ขายปลีก,Red Tilapia,Red Tilapia Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12020,ปลาทู (3 ตัว/เข่ง),ปลาทู (3 ตัว/เข่ง) ขายปลีก,Short Mackerel (3 Fishes/Basket),Short Mackerel (3 Fishes/Basket) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12021,เส้นก๋วยเตี๋ยว (เส้นใหญ่),เส้นก๋วยเตี๋ยว (เส้นใหญ่) ขายปลีก,Fish Noodles (Wide),Fish Noodles (Wide) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12022,เส้นก๋วยเตี๋ยว (เส้นเล็ก),เส้นก๋วยเตี๋ยว (เส้นเล็ก) ขายปลีก,Fish Noodles (Thin),Fish Noodles (Thin) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12023,ปลาทู (2 - 3 ตัว/เข่ง),ปลาทู (2 - 3 ตัว/เข่ง) ขายปลีก,Short Mackerel (2–3 Fishes/Basket),Short Mackerel (2–3 Fishes/Basket) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P12024,ปลากระพงขาว (0.7-2 กก./ตัว),ปลากระพงขาว (0.7-2 กก./ตัว) ขายปลีก,Sea Bass (0.7–2 kg/Fish),Sea Bass (0.7–2 kg/Fish) Retail,สัตว์น้ำ,Aquatic Animal,ขายปลีก,Retail,"",""
P13001,ผักคะน้า คละ,ผักคะน้า คละ ขายปลีก,Chinese Kale (Mixed Grade),Chinese Kale (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13002,ผักคะน้า คัด,ผักคะน้า คัด ขายปลีก,Chinese Kale (Premium Grade),Chinese Kale (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13003,ผักบุ้งจีน คละ,ผักบุ้งจีน คละ ขายปลีก,Chinese Morning Glory (Mixed Grade),Chinese Morning Glory (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13004,ผักบุ้งจีน คัด,ผักบุ้งจีน คัด ขายปลีก,Chinese Morning Glory (Premium Grade),Chinese Morning Glory (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13005,ผักกวางตุ้ง คละ,ผักกวางตุ้ง คละ ขายปลีก,Choy Sum (Mixed Grade),Choy Sum (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P14008,กล้วยไข่ ใหญ่,กล้วยไข่ ใหญ่ ขายปลีก,Large Kluai Khai Banana,Large Kluai Khai Banana Retail,ผลไม้,Fruit,ขายปลีก,Retail,"",""
P13006,ผักกวางตุ้ง คัด,ผักกวางตุ้ง คัด ขายปลีก,Choy Sum (Premium Grade),Choy Sum (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13007,ผักกาดหอม คละ,ผักกาดหอม คละ ขายปลีก,Lettuce (Mixed Grade),Lettuce (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13008,ผักกาดหอม คัด,ผักกาดหอม คัด ขายปลีก,Lettuce (Premium Grade),Lettuce (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13009,ผักกาดขาว (ลุ้ย) คละ,ผักกาดขาว (ลุ้ย) คละ ขายปลีก,Napa Cabbage (Mixed Grade),Napa Cabbage (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13010,ผักกาดขาว (ลุ้ย) คัด,ผักกาดขาว (ลุ้ย) คัด ขายปลีก,Napa Cabbage (Premium Grade),Napa Cabbage (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13011,กะหล่ำปลี คละ,กะหล่ำปลี คละ ขายปลีก,Cabbage (Mixed Grade),Cabbage (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13012,กะหล่ำปลี คัด,กะหล่ำปลี คัด ขายปลีก,Cabbage (Premium Grade),Cabbage (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13013,กะหล่ำดอก คละ,กะหล่ำดอก คละ ขายปลีก,Cauliflower (Mixed Grade),Cauliflower (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13014,กะหล่ำดอก คัด,กะหล่ำดอก คัด ขายปลีก,Cauliflower (Premium Grade),Cauliflower (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13015,มะระจีน คละ,มะระจีน คละ ขายปลีก,Chinese Bitter Melon (Mixed Grade),Chinese Bitter Melon (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13016,มะระจีน คัด,มะระจีน คัด ขายปลีก,Chinese Bitter Melon (Premium Grade),Chinese Bitter Melon (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13017,มะเขือเทศสีดา คละ,มะเขือเทศสีดา คละ ขายปลีก,Sida Tomato (Mixed Grade),Sida Tomato (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13018,มะเขือเทศสีดา คัด,มะเขือเทศสีดา คัด ขายปลีก,Sida Tomato (Premium Grade),Sida Tomato (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13019,มะเขือเทศผลใหญ่ คละ,มะเขือเทศผลใหญ่ คละ ขายปลีก,Large Tomato (Mixed Grade),Large Tomato (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13020,มะเขือเทศผลใหญ่ คัด,มะเขือเทศผลใหญ่ คัด ขายปลีก,Large Tomato (Premium Grade),Large Tomato (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13021,มะเขือเจ้าพระยา,มะเขือเจ้าพระยา ขายปลีก,Chao Phraya Eggplant,Chao Phraya Eggplant Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13022,ถั่วฝักยาว คละ,ถั่วฝักยาว คละ ขายปลีก,Yardlong Bean (Mixed Grade),Yardlong Bean (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13023,ถั่วฝักยาว คัด,ถั่วฝักยาว คัด ขายปลีก,Yardlong Bean (Premium Grade),Yardlong Bean (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13024,แตงกวา คละ,แตงกวา คละ ขายปลีก,Cucumber (Mixed Grade),Cucumber (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13025,แตงกวา คัด,แตงกวา คัด ขายปลีก,Cucumber (Premium Grade),Cucumber (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13026,ฟักเขียว คละ,ฟักเขียว คละ ขายปลีก,Winter Melon (Mixed Grade),Winter Melon (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13027,ฟักเขียว คัด,ฟักเขียว คัด ขายปลีก,Winter Melon (Premium Grade),Winter Melon (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13028,หัวผักกาด คละ,หัวผักกาด คละ ขายปลีก,Daikon (Mixed Grade),Daikon (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13029,หัวผักกาด คัด,หัวผักกาด คัด ขายปลีก,Daikon (Premium Grade),Daikon (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13030,หน่อไม้ฝรั่ง คละ,หน่อไม้ฝรั่ง คละ ขายปลีก,Asparagus (Mixed Grade),Asparagus (Mixed Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13031,หน่อไม้ฝรั่ง คัด,หน่อไม้ฝรั่ง คัด ขายปลีก,Asparagus (Premium Grade),Asparagus (Premium Grade) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13032,ข้าวโพดฝักอ่อน,ข้าวโพดฝักอ่อน ขายปลีก,Baby Corn,Baby Corn Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13033,ผักชี คละ (บาท/ขีด),ผักชี คละ (บาท/ขีด) ขายปลีก,"Cilantro (Mixed Grade, Baht/100g)","Cilantro (Mixed Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13034,ผักชี คัด (บาท/ขีด),ผักชี คัด (บาท/ขีด) ขายปลีก,"Cilantro (Premium Grade, Baht/100g)","Cilantro (Premium Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P14006,กล้วยหอมทอง ใหญ่,กล้วยหอมทอง ใหญ่ ขายปลีก,Large Gros Michel Banana,Large Gros Michel Banana Retail,ผลไม้,Fruit,ขายปลีก,Retail,"",""
P13035,ต้นหอม คละ (บาท/ขีด),ต้นหอม คละ (บาท/ขีด) ขายปลีก,"Spring Onion (Mixed Grade, Baht/100g)","Spring Onion (Mixed Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13036,ต้นหอม คัด (บาท/ขีด),ต้นหอม คัด (บาท/ขีด) ขายปลีก,"Spring Onion (Premium Grade, Baht/100g)","Spring Onion (Premium Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13037,พริกสดชี้ฟ้า (บาท/ขีด),พริกสดชี้ฟ้า (บาท/ขีด) ขายปลีก,Spur Chili (Baht/100g),Spur Chili (Baht/100g) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13038,พริกขี้หนูจินดา (แดง) (บาท/ขีด),พริกขี้หนูจินดา (แดง) (บาท/ขีด) ขายปลีก,Red Jinda Bird’s Eye Chili (Baht/100g),Red Jinda Bird’s Eye Chili (Baht/100g) Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13039,ขึ้นฉ่าย คละ (บาท/ขีด),ขึ้นฉ่าย คละ (บาท/ขีด) ขายปลีก,"Celery (Mixed Grade, Baht/100g)","Celery (Mixed Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13040,ขึ้นฉ่าย คัด (บาท/ขีด),ขึ้นฉ่าย คัด (บาท/ขีด) ขายปลีก,"Celery (Premium Grade, Baht/100g)","Celery (Premium Grade, Baht/100g) Retail",ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13041,ผักกะเฉด,ผักกะเฉด ขายปลีก,Water Mimosa,Water Mimosa Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
P13042,ผักบุ้งไทย,ผักบุ้งไทย ขายปลีก,Thai Morning Glory,Thai Morning Glory Retail,ผักสด,Fresh Vegetable,ขายปลีก,Retail,"",""
