"ID","NAME_TH","APP_NAME_TH","NAME_EN","APP_NAME_EN","GROUP_TYPE_TH","GROUP_TYPE_EN","CATEGORY_TH","CATEGORY_EN","UNIT_TH","UNIT_EN"
W18034,น้ำมันปาล์มสำเร็จรูป บรรจุขวด 1 ลิตร (12 ขวด/หีบ) ตราโอลีน,น้ำมันปาล์มสำเร็จรูป บรรจุขวด 1 ลิตร (12 ขวด/หีบ) ตราโอลีน ขายส่ง,"1-Liter Bottle of Refined Palm Oil (12 Bottles/Case, Oleen Brand)","1-Liter Bottle of Refined Palm Oil (12 Bottles/Case, Oleen Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18035,น้ำมันปาล์มสำเร็จรูป บรรจุขวด 1 ลิตร (12 ขวด/หีบ) ตราเกสร,น้ำมันปาล์มสำเร็จรูป บรรจุขวด 1 ลิตร (12 ขวด/หีบ) ตราเกสร ขายส่ง,"1-Liter Bottle of Refined Palm Oil (12 Bottles/Case, Gaysorn Brand)","1-Liter Bottle of Refined Palm Oil (12 Bottles/Case, Gaysorn Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18036,น้ำมันปาล์มดิบ (Crude Palm Oil) ตลาดมาเลเซีย,น้ำมันปาล์มดิบ (Crude Palm Oil) ตลาดมาเลเซีย ขายส่ง,Crude Palm Oil (Malaysian Market),Crude Palm Oil (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18037,น้ำมันปาล์มดิบ (Crude Palm Oil) ตลาดมาเลเซีย,น้ำมันปาล์มดิบ (Crude Palm Oil) ตลาดมาเลเซีย ขายส่ง,Crude Palm Oil (Malaysian Market),Crude Palm Oil (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18038,น้ำมันกึ่งบริสุทธิ์ (RBD Palm Oil) ตลาดมาเลเซีย,น้ำมันกึ่งบริสุทธิ์ (RBD Palm Oil) ตลาดมาเลเซีย ขายส่ง,RBD Palm Oil (Malaysian Market),RBD Palm Oil (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18039,น้ำมันกึ่งบริสุทธิ์ (RBD Palm Oil) ตลาดมาเลเซีย,น้ำมันกึ่งบริสุทธิ์ (RBD Palm Oil) ตลาดมาเลเซีย ขายส่ง,RBD Palm Oil (Malaysian Market),RBD Palm Oil (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18042,สเตียรีนบริสุทธิ์ (RBD Palm Stearin) ตลาดมาเลเซีย,สเตียรีนบริสุทธิ์ (RBD Palm Stearin) ตลาดมาเลเซีย ขายส่ง,RBD Palm Stearin (Malaysian Market),RBD Palm Stearin (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18043,สเตียรีนบริสุทธิ์ (RBD Palm Stearin) ตลาดมาเลเซีย,สเตียรีนบริสุทธิ์ (RBD Palm Stearin) ตลาดมาเลเซีย ขายส่ง,RBD Palm Stearin (Malaysian Market),RBD Palm Stearin (Malaysian Market) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18044,มะพร้าวทับสะแก ผลใหญ่ (ปอกเปลือก),มะพร้าวทับสะแก ผลใหญ่ (ปอกเปลือก) ขายส่ง,Large Peeled Thapsakae Coconut,Large Peeled Thapsakae Coconut Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18045,เนื้อมะพร้าวแห้ง 90%,เนื้อมะพร้าวแห้ง 90% ขายส่ง,"90% Desiccated Coconut","90% Desiccated Coconut Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
