StationID,WmoCode,StationNameThai,StationNameEnglish,StationType,ZipCode,Latitude,Longitude,HeightAboveMSL,HeightofWindWane,HeightofBarometer,HeightofThermometer,province_id
1604001401,48418,บัวชุม  ,BUA CHUM,สถานีอุตุนิยมวิทยา(อุทก),15130,15.266666666667,101.18736111111,49.28,11.17,51.47,1.50,PROV7
1804001301,48402,ชัยนาท สกษ.,CHAINAT AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),17150,15.15,100.18333333333,15.00,11.50,16.85,1.50,PROV9
2001001201,48459,ชลบุรี,CHON BURI,สถานีอุตุนิยมวิทยา,20000,13.366666666667,100.98333333333,.86,13.60,2.48,1.50,PROV11
2004001201,48461,พัทยา,PHATTHAYA,สถานีอุตุนิยมวิทยา,20260,12.92,100.86944444444,58.93,10.00,60.80,1.20,PROV11
2007001201,48463,แหลมฉบัง,LAEM CHABANG,สถานีอุตุนิยมวิทยา,20230,13.076944444444,100.87583333333,81.00,97.30,81.70,1.20,PROV11
2008001201,48460,เกาะสีชัง,KO SICHANG,สถานีอุตุนิยมวิทยา,20120,13.161666666667,100.80194444444,24.85,12.80,27.38,1.20,PROV11
2009001201,48477,สัตหีบ,SATTAHIP,สถานีอุตุนิยมวิทยา,20180,12.683333333333,100.98333333333,16.00,1.50,18.00,1.25,PROV11
2101001201,48478,ระยอง,RAYONG,สถานีอุตุนิยมวิทยา,21000,12.632222222222,101.34361111111,2.60,15.00,4.54,1.20,PROV12
2101001301,48479,ห้วยโป่ง สกษ.,HUAI PONG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),21150,12.733333333333,101.13333333333,43.00,10.20,45.10,1.20,PROV12
2201001201,48480,จันทบุรี,CHANTHA BURI,สถานีอุตุนิยมวิทยา,22000,12.616666666667,102.11333333333,2.68,11.50,3.60,1.25,PROV13
2202001301,48481,พลิ้ว สกษ.,PHLIU  AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),22110,12.508611111111,102.17305555556,24.00,11.18,24.10,1.55,PROV13
2302001201,48501,ตราด,TRAD,สถานีอุตุนิยมวิทยา,23110,11.766666666667,102.88333333333,2.00,11.10,4.00,1.25,PROV14
